Course_ID,Course_Name,Description,Target_Audience,Prerequisites,Duration_Hours,Delivery_Method,Level,Learning_Objectives,Content_Modules,Assessment_Type,Certification,Instructor,Max_Class_Size,Frequency,Start_Date,Status,Materials_Ready
TRN-001,IBP Foundations,Introduction to IBP concepts and benefits,All IBP Participants,None,2,eLearning,Foundational,Understand IBP purpose; Describe 5 reviews; Explain benefits,What is IBP; The 5 Reviews; Benefits; Your Role,Quiz (80% pass),IBP Fundamentals,Self-paced,Unlimited,Ongoing,2026-02-15,In Development,80%
TRN-002,IBP Process Overview,Detailed walkthrough of IBP process,All IBP Participants,TRN-001,4,Virtual Classroom,Foundational,Navigate monthly cycle; Understand inputs/outputs; Know key deadlines,Monthly Cycle; Process Steps; Roles; Calendar; Templates,Knowledge check,None,IBP Leader,25,Monthly,2026-03-01,In Development,60%
TRN-003,Product Review Deep Dive,Detailed training on Product Review,Product Team + Review Participants,TRN-001,4,Classroom,Intermediate,Lead product review; Manage NPI integration; Track portfolio health,Portfolio Management; NPI Process; Rationalization; Meeting Facilitation,Role play + assessment,Product Review Certified,Product Manager,15,Quarterly,2026-03-10,Planned,30%
TRN-004,Demand Review Deep Dive,Detailed training on Demand Review,Demand Planning + Sales + Marketing,TRN-001,6,Classroom,Intermediate,Build consensus demand; Analyze accuracy; Document assumptions,Statistical Forecast; Overlays; Consensus Process; Accuracy Tracking,Simulation + assessment,Demand Review Certified,Demand Planning Manager,15,Quarterly,2026-03-12,Planned,30%
TRN-005,Supply Review Deep Dive,Detailed training on Supply Review,Supply Chain + Operations,TRN-001,6,Classroom,Intermediate,Develop supply response; Manage constraints; Plan scenarios,Capacity Planning; Inventory Strategy; Constraint Management; Scenarios,Simulation + assessment,Supply Review Certified,Supply Chain Manager,15,Quarterly,2026-03-14,Planned,30%
TRN-006,Financial Integration,Training on financial aspects of IBP,Finance + FP&A,TRN-001,4,Classroom,Intermediate,Integrate financial plans; Analyze gaps; Support decisions,P&L Integration; Gap Analysis; Working Capital; Scenarios,Case study + assessment,Finance IBP Certified,FP&A Manager,15,Quarterly,2026-03-16,Planned,20%
TRN-007,Executive IBP Participation,Training for executive IBP participants,Executives + VPs,TRN-001,2,Workshop,Executive,Effectively participate; Make decisions; Drive accountability,Meeting Format; Decision Framework; Leadership Role,Discussion,None,IBP Leader,20,Quarterly,2026-03-18,Planned,20%
TRN-008,Meeting Facilitation Skills,Facilitation skills for review owners,Review Owners + Facilitators,TRN-001,4,Workshop,Intermediate,Facilitate effective meetings; Manage conflict; Drive decisions,Facilitation Techniques; Conflict Resolution; Decision Driving; Time Management,Role play,Facilitator Certified,External Trainer,12,Bi-annual,2026-03-20,Planned,10%
TRN-009,Planning System Training,Technical training on IBP planning tools,Planners + Analysts,TRN-001,8,Hands-on Lab,Technical,Navigate system; Enter data; Run reports; Create scenarios,System Overview; Data Entry; Reporting; Scenario Tools; Troubleshooting,Practical exam,System Certified,IT Trainer,10,Monthly,2026-03-25,Planned,0%
TRN-010,Advanced Analytics for IBP,Advanced analytics and insights,Power Users + Analysts,TRN-009,8,Workshop,Advanced,Build advanced analyses; Create visualizations; Develop insights,Advanced Reporting; Visualization; Root Cause Analysis; Predictive Analytics,Project,Analytics Expert,External Trainer,10,Bi-annual,2026-06-01,Planned,0%
TRN-011,Change Champion Training,Training for change champions,Change Champions,TRN-001,4,Workshop,Intermediate,Support change; Address resistance; Coach peers,Change Management Basics; Resistance Handling; Coaching Skills; Communication,Discussion + plan,Champion Certified,Change Lead,20,As needed,2026-02-20,In Development,50%
TRN-012,IBP Refresher,Annual refresher training,All IBP Participants,Previous certification,2,eLearning,Foundational,Refresh knowledge; Learn updates; Maintain certification,Process Updates; Best Practices; Lessons Learned,Quiz (80% pass),Recertification,Self-paced,Unlimited,Annual,2027-01-15,Planned,0%
