Category,KPI,Metric_ID,Current_Value,Prior_Month,Target,YTD_Actual,YTD_Budget,Status,Trend,Unit,Definition,Data_Source,Update_Frequency
Financial,Revenue,FIN-001,25.5,24.8,26.0,75.2,78.0,Yellow,Up,$M,Net revenue after returns and allowances,ERP,Monthly
Financial,Gross Margin %,FIN-002,42.5,41.8,43.0,42.1,43.5,Yellow,Up,%,Gross profit as percentage of revenue,ERP,Monthly
Financial,Operating Income,FIN-003,4.2,3.9,4.5,12.1,13.5,Yellow,Up,$M,Revenue minus COGS and OpEx,ERP,Monthly
Financial,Operating Margin %,FIN-004,16.5,15.7,17.3,16.1,17.3,Yellow,Up,%,Operating income as percentage of revenue,ERP,Monthly
Financial,Working Capital % Revenue,FIN-005,18.2,18.8,17.0,18.2,17.0,Yellow,Down,%,Net working capital divided by revenue,ERP,Monthly
Customer,OTIF,CUST-001,94.2,93.5,95.0,93.8,95.0,Yellow,Up,%,Orders delivered on-time in-full,WMS/TMS,Weekly
Customer,Perfect Order Rate,CUST-002,91.5,90.8,92.0,91.2,92.0,Yellow,Up,%,Orders with no errors end-to-end,OMS,Monthly
Customer,Customer Satisfaction,CUST-003,4.2,4.1,4.3,4.2,4.3,Yellow,Up,Score (1-5),Average customer satisfaction score,Survey,Quarterly
Customer,Order Lead Time,CUST-004,8.5,9.0,8.0,8.8,8.0,Yellow,Down,Days,Average days from order to delivery,OMS,Monthly
Process,Forecast Accuracy,PROC-001,72.5,70.2,70.0,71.8,70.0,Green,Up,%,Weighted MAPE at SKU-location level,Planning System,Monthly
Process,Forecast Bias,PROC-002,2.1,3.5,3.0,2.8,3.0,Green,Down,%,Systematic over/under forecasting,Planning System,Monthly
Process,Plan Adherence - Production,PROC-003,96.2,95.8,95.0,95.9,95.0,Green,Up,%,Actual production vs plan,MES,Weekly
Process,Plan Adherence - Demand,PROC-004,91.5,90.2,90.0,90.8,90.0,Green,Up,%,Actual shipments vs consensus demand,Planning System,Monthly
Process,Plan Stability,PROC-005,8.5,9.2,10.0,8.8,10.0,Green,Down,%,Month-over-month forecast change,Planning System,Monthly
Supply,Capacity Utilization,SUPP-001,82.5,80.2,80.0,81.5,80.0,Green,Up,%,Actual output vs theoretical capacity,MES,Monthly
Supply,Inventory Days of Supply,SUPP-002,45.0,48.0,42.0,46.5,42.0,Yellow,Down,Days,Inventory divided by daily demand,ERP,Monthly
Supply,Inventory Turns,SUPP-003,5.8,5.5,6.0,5.6,6.0,Yellow,Up,Turns,COGS divided by average inventory,ERP,Monthly
Supply,Supplier OTD,SUPP-004,93.5,92.8,95.0,93.2,95.0,Yellow,Up,%,Supplier on-time delivery rate,SRM,Monthly
Enabler,Meeting Effectiveness,ENAB-001,4.2,4.0,4.0,4.1,4.0,Green,Up,Score (1-5),IBP meeting effectiveness survey score,Survey,Monthly
Enabler,Decision Cycle Time,ENAB-002,36.0,42.0,48.0,38.0,48.0,Green,Down,Hours,Hours from escalation to decision,Process Log,Per Issue
Enabler,Action Completion Rate,ENAB-003,88.0,85.0,90.0,87.0,90.0,Yellow,Up,%,IBP action items completed on time,Action Tracker,Monthly
Enabler,Data Quality Score,ENAB-004,94.5,93.8,95.0,94.2,95.0,Yellow,Up,%,Composite data quality index,MDM,Monthly
