IBP Meeting Cadence & Structure,,,,,,,
,,,,,,,
MEETING OVERVIEW,,,,,,,
Meeting Name,Frequency,Week,Day,Duration,Chair,Scribe,Location
Product Review,Monthly,1,Thursday,90 min,VP Product,IBP Coordinator,
Demand Review,Monthly,2,Thursday,90 min,VP Sales,IBP Coordinator,
Supply Review,Monthly,3,Thursday,90 min,VP Supply Chain,IBP Coordinator,
Financial Review,Monthly,4,Tuesday,60 min,VP Finance,FP&A Analyst,
Executive IBP,Monthly,4,Thursday,120 min,CEO/COO,IBP Process Owner,
,,,,,,,
PRODUCT REVIEW - DETAILED STRUCTURE,,,,,,,
Agenda Item,Duration,Presenter,Required Materials,Decision Type,Escalation Criteria,,
Performance Review - NPI & Portfolio,15 min,Product Manager,NPI tracker; Portfolio dashboard,Inform,N/A,,
Product Pipeline Update,20 min,R&D Lead,Pipeline status report,Inform/Discuss,Timeline slip >30 days,,
SKU Rationalization Review,15 min,Product Manager,SKU analysis; Tail report,Recommend,Revenue impact >$1M,,
Market & Competitive Intelligence,15 min,Marketing,Market analysis,Inform,Significant competitive threat,,
Portfolio Decisions Required,15 min,VP Product,Decision log,Decide,Investment >$500K,,
Actions & Next Steps,10 min,IBP Coordinator,Action tracker,Assign,N/A,,
,,,,,,,
PRODUCT REVIEW - ATTENDEES,,,,,,,
Role,Required/Optional,Participation Level,,,,,
VP Product/Marketing,Required,Chair,,,,,
Product Managers,Required,Present,,,,,
R&D/Engineering Lead,Required,Present,,,,,
Marketing Manager,Required,Present,,,,,
Demand Planning Manager,Required,Input,,,,,
Supply Planning Manager,Required,Input,,,,,
Finance Representative,Required,Input,,,,,
IBP Process Owner,Required,Facilitate,,,,,
,,,,,,,
DEMAND REVIEW - DETAILED STRUCTURE,,,,,,,
Agenda Item,Duration,Presenter,Required Materials,Decision Type,Escalation Criteria,,
Forecast Performance Review,15 min,Demand Planning Mgr,Accuracy & bias report,Inform,Accuracy <60% or Bias >5%,,
Statistical Baseline Review,10 min,Demand Planner,Baseline forecast,Inform,N/A,,
Sales Overlay Discussion,20 min,Sales Director,Sales forecast; Pipeline,Discuss/Align,Variance >10% from baseline,,
Marketing Overlay Discussion,15 min,Marketing Manager,Promotional plan; Campaigns,Discuss/Align,Variance >5% from baseline,,
Consensus Demand Finalization,20 min,VP Sales,Draft consensus demand,Decide,Demand change >10% MoM,,
Escalations to Executive IBP,10 min,IBP Process Owner,Escalation log,Assign,Per escalation criteria,,
,,,,,,,
DEMAND REVIEW - ATTENDEES,,,,,,,
Role,Required/Optional,Participation Level,,,,,
VP Sales/Commercial,Required,Chair,,,,,
Sales Directors (by region/segment),Required,Present,,,,,
Marketing Manager,Required,Present,,,,,
Demand Planning Manager,Required,Present,,,,,
Finance Representative,Required,Input,,,,,
Supply Planning Representative,Required,Input,,,,,
Customer Service Representative,Optional,Input,,,,,
IBP Process Owner,Required,Facilitate,,,,,
,,,,,,,
SUPPLY REVIEW - DETAILED STRUCTURE,,,,,,,
Agenda Item,Duration,Presenter,Required Materials,Decision Type,Escalation Criteria,,
Supply Performance Review,15 min,Supply Planning Mgr,Plan adherence report,Inform,Adherence <90%,,
Demand-Supply Match Analysis,20 min,Supply Planner,Gap analysis; Constraints,Discuss,Gap >5% of demand,,
Capacity & Resource Review,15 min,Operations Manager,Capacity report,Discuss/Decide,Utilization >95% or <70%,,
Inventory Position & Strategy,15 min,Supply Planning Mgr,Inventory dashboard,Discuss/Decide,DOS variance >5 days,,
Scenario Options & Recommendations,15 min,Supply Planning Mgr,Scenario analysis,Recommend,Investment required,,
Escalations & Decisions,10 min,VP Supply Chain,Decision log,Decide/Escalate,Per escalation criteria,,
,,,,,,,
SUPPLY REVIEW - ATTENDEES,,,,,,,
Role,Required/Optional,Participation Level,,,,,
VP Supply Chain/Operations,Required,Chair,,,,,
Supply Planning Manager,Required,Present,,,,,
Operations/Manufacturing Manager,Required,Present,,,,,
Procurement Manager,Required,Present,,,,,
Logistics Manager,Required,Input,,,,,
Demand Planning Representative,Required,Input,,,,,
Finance Representative,Required,Input,,,,,
IBP Process Owner,Required,Facilitate,,,,,
,,,,,,,
FINANCIAL REVIEW - DETAILED STRUCTURE,,,,,,,
Agenda Item,Duration,Presenter,Required Materials,Decision Type,Escalation Criteria,,
Financial Performance YTD,10 min,FP&A Manager,P&L report,Inform,N/A,,
Operating Plan P&L Projection,15 min,FP&A Analyst,P&L projection,Discuss,Gap to budget >3%,,
Gap Analysis & Drivers,15 min,FP&A Manager,Gap waterfall,Discuss,N/A,,
Working Capital Review,10 min,FP&A Analyst,WC dashboard,Discuss,WC% variance >2pts,,
Gap Closure Initiatives,10 min,VP Finance,Initiative tracker,Decide/Assign,N/A,,
,,,,,,,
FINANCIAL REVIEW - ATTENDEES,,,,,,,
Role,Required/Optional,Participation Level,,,,,
VP Finance/CFO,Required,Chair,,,,,
FP&A Manager,Required,Present,,,,,
FP&A Analysts,Required,Present,,,,,
Sales Finance Representative,Required,Input,,,,,
Supply Chain Finance Representative,Required,Input,,,,,
IBP Process Owner,Required,Facilitate,,,,,
,,,,,,,
EXECUTIVE IBP - DETAILED STRUCTURE,,,,,,,
Agenda Item,Duration,Presenter,Required Materials,Decision Type,Escalation Criteria,,
Business Performance Dashboard,20 min,IBP Process Owner,Executive dashboard,Inform,N/A,,
Integrated Plan Review (24-month),30 min,IBP Process Owner,Rolling plan summary,Discuss,N/A,,
Gap Analysis & Scenarios,30 min,IBP Process Owner,Gap analysis; Scenarios,Discuss/Decide,N/A,,
Decisions Required,25 min,Respective VPs,Decision requests,Decide,N/A,,
Strategic Initiatives Update,10 min,Strategy Lead,Initiative tracker,Inform,N/A,,
Commitments & Communication,5 min,CEO/COO,Action summary,Commit,N/A,,
,,,,,,,
EXECUTIVE IBP - ATTENDEES,,,,,,,
Role,Required/Optional,Participation Level,,,,,
CEO/COO,Required,Chair,,,,,
CFO,Required,Decide,,,,,
VP Sales/CSO,Required,Present/Decide,,,,,
VP Marketing/CMO,Required,Present/Decide,,,,,
VP Supply Chain/CSCO,Required,Present/Decide,,,,,
VP Product,Required,Present/Decide,,,,,
VP HR,Optional,Input,,,,,
IBP Process Owner,Required,Present/Facilitate,,,,,
,,,,,,,
MEETING EFFECTIVENESS CRITERIA,,,,,,,
Criterion,Target,Measurement,,,,,
Start on time,100%,Meeting log,,,,,
End on time,100%,Meeting log,,,,,
Pre-read distributed 48hrs prior,100%,Calendar check,,,,,
Required attendees present,>90%,Attendance log,,,,,
Decisions made vs deferred,>80% made,Decision log,,,,,
Action items with clear owners,100%,Action tracker,,,,,
Meeting effectiveness score,>4/5,Post-meeting survey,,,,,
