Comm_ID,Phase,Communication_Title,Purpose,Key_Messages,Target_Audience,Channel,Format,Sender,Frequency,Start_Date,End_Date,Owner,Status,Feedback_Mechanism,Success_Measure
COMM-001,Awareness,IBP Program Announcement,Launch program and create awareness,Why IBP; Vision; Timeline; What to expect,All Employees,Town Hall + Email,Presentation + Email,CEO,One-time,2026-02-01,,Change Lead,Planned,Q&A session; feedback form,80% attendance; 70% awareness survey
COMM-002,Awareness,Leadership Alignment Session,Align leadership on vision and expectations,Detailed program plan; Leader roles; Expectations,Executive Team + VPs,Workshop,Interactive session,Sponsor,One-time,2026-02-05,,IBP Leader,Planned,Discussion,100% alignment
COMM-003,Awareness,Department Briefings,Cascade information to departments,IBP overview; Department impact; Timeline,All Departments,Team Meetings,Presentation,Department Heads,One-time per dept,2026-02-10,2026-02-28,Change Agents,Planned,Q&A; feedback,100% coverage
COMM-004,Awareness,IBP Newsletter Launch,Ongoing communication channel,Program updates; Tips; Success stories,All Employees,Email Newsletter,Newsletter,Change Lead,Bi-weekly,2026-02-15,Ongoing,Change Lead,Planned,Click rates; feedback,50% open rate
COMM-005,Desire,WIIFM Workshops,Build desire to change by showing personal benefits,Benefits by role; Address concerns; Success stories,Review Participants,Workshop,Interactive session,Change Agents,One-time per group,2026-02-20,2026-03-15,Change Agents,Planned,Attitude survey,4.0/5 desire score
COMM-006,Desire,Champion Network Launch,Establish local advocates,Champion role; Support available; Recognition,Change Champions,Meeting,Workshop,Change Lead,Monthly,2026-02-25,Ongoing,Change Lead,Planned,Champion engagement,20 active champions
COMM-007,Desire,Executive Video Series,Visible leadership support,Why this matters; Personal commitment,All Employees,Video (Intranet),Short videos,C-Suite,Weekly x 4,2026-03-01,2026-03-22,Comms Team,Planned,View count; comments,500+ views each
COMM-008,Knowledge,Training Announcement,Announce training program,Training overview; Schedule; Expectations,All Participants,Email + Intranet,Email + FAQ,HR/L&D,One-time,2026-03-01,,L&D Lead,Planned,Questions received,100% aware
COMM-009,Knowledge,Pilot Kick-off Communication,Launch pilot with clear expectations,Pilot scope; Participants; Success criteria; Support,Pilot Participants,Meeting + Email,Presentation,IBP Leader,One-time,2026-03-15,,IBP Leader,Planned,Questions; readiness,100% readiness
COMM-010,Knowledge,Quick Reference Guides,Provide job aids for new process,Process steps; Templates; FAQs,All Participants,Intranet + Print,Job aids,Change Lead,One-time + updates,2026-03-20,,Training Team,Planned,Usage; feedback,80% find helpful
COMM-011,Ability,Pilot Progress Updates,Keep organization informed of pilot,Pilot progress; Learnings; Next steps,All Employees,Newsletter,Update article,Change Lead,Weekly during pilot,2026-03-22,2026-05-15,Change Lead,Planned,Questions; interest,Increased engagement
COMM-012,Ability,Go-Live Communication,Announce full rollout,Rollout plan; Timeline; Support available,All Participants,Town Hall + Email,Presentation + Email,CEO + IBP Leader,One-time,2026-06-01,,Change Lead,Planned,Readiness survey,90% feel ready
COMM-013,Ability,Support Resources,Ensure help is available,Help desk info; FAQs; Contact info,All Participants,Intranet + Email,Resource page,Change Lead,One-time + updates,2026-06-01,,Support Team,Planned,Ticket volume; satisfaction,<24hr response
COMM-014,Reinforcement,Success Stories,Share wins and reinforce behaviors,Success examples; Recognition; Best practices,All Employees,Newsletter + Intranet,Articles + video,Change Lead,Monthly,2026-07-01,Ongoing,Comms Team,Planned,Engagement; nominations,10 stories shared
COMM-015,Reinforcement,Quarterly Progress Report,Report on program progress,KPIs; Achievements; Next steps,Leadership + All,Presentation + Email,Report,IBP Leader,Quarterly,2026-07-01,Ongoing,IBP Leader,Planned,Feedback,Continued support
COMM-016,Reinforcement,Annual IBP Awards,Recognize excellence,Award categories; Winners; Celebration,All Employees,Event,Awards ceremony,CEO,Annual,2026-12-15,Ongoing,Change Lead,Planned,Nominations; attendance,50+ nominations
