Dimension,Sub_Dimension,Question_ID,Question,Weight,Level_1_Description,Level_2_Description,Level_3_Description,Level_4_Description,Level_5_Description,Assessment_Score,Evidence,Gap_to_Target,Priority,Improvement_Action
Process,Product Review,PROC-PR-01,Is there a documented product review process?,3%,No process,Informal process,Documented but inconsistent,Documented and consistent,Best practice with continuous improvement,4,Documented process followed monthly,0,Low,Maintain current state
Process,Product Review,PROC-PR-02,Is NPI integrated into the planning cycle?,3%,No integration,Ad-hoc integration,Partial integration,Full integration with standard lead times,Predictive integration with scenario planning,3,NPI included but timing inconsistent,1,High,Standardize NPI integration points
Process,Product Review,PROC-PR-03,Is portfolio health actively managed?,2%,No portfolio management,Basic SKU tracking,Regular rationalization,Proactive lifecycle management,Predictive portfolio optimization,3,Annual rationalization process in place,1,Medium,Move to quarterly review
Process,Demand Review,PROC-DR-01,Is there a structured consensus demand process?,4%,No consensus process,Informal discussions,Structured meetings,Cross-functional consensus with documentation,Collaborative consensus with external inputs,4,Monthly consensus with documented assumptions,0,Low,Maintain and enhance
Process,Demand Review,PROC-DR-02,Is statistical forecasting used as baseline?,3%,No statistical forecasting,Basic averages,Standard algorithms,Advanced algorithms with automatic selection,ML-based with demand sensing,3,Standard algorithms in use,1,High,Implement ML-based forecasting pilot
Process,Demand Review,PROC-DR-03,Are forecast assumptions documented and tracked?,2%,No documentation,Occasional documentation,Regular documentation,Comprehensive with tracking,Automated tracking with alerts,3,Documentation in place but tracking manual,1,Medium,Implement automated assumption tracking
Process,Supply Review,PROC-SR-01,Is capacity planning integrated with demand?,4%,No capacity planning,Reactive capacity checks,Regular capacity review,Integrated with scenarios,Predictive with optimization,3,Capacity reviewed monthly against demand,1,High,Add scenario-based capacity planning
Process,Supply Review,PROC-SR-02,Are constraints actively managed?,3%,Constraints not tracked,Reactive constraint handling,Constraint log maintained,Proactive constraint management,Predictive constraint avoidance,4,Constraint log with mitigation actions,0,Low,Maintain current state
Process,Supply Review,PROC-SR-03,Is inventory strategy aligned with service targets?,2%,No strategic inventory,Basic safety stock,Service-driven targets,Multi-echelon optimization,Dynamic optimization,3,Service-driven targets in place,1,Medium,Explore multi-echelon optimization
Process,Financial Review,PROC-FR-01,Is the operating plan financially integrated?,4%,No financial integration,Basic revenue projection,P&L integration,Full P&L and balance sheet,Predictive financial scenarios,3,P&L projection integrated,1,High,Add balance sheet and working capital
Process,Financial Review,PROC-FR-02,Is gap analysis conducted regularly?,3%,No gap analysis,Occasional gap analysis,Monthly gap analysis,Gap analysis with closure tracking,Predictive gap identification,4,Monthly gap analysis with tracking,0,Low,Maintain current state
Process,Executive IBP,PROC-EX-01,Do executives actively participate?,4%,No executive participation,Occasional participation,Regular attendance,Active engagement and decisions,Strategic leadership of process,4,C-suite attends and decides monthly,0,Low,Maintain engagement
Process,Executive IBP,PROC-EX-02,Are decisions made and tracked?,3%,No decision tracking,Informal decisions,Decisions documented,Tracked with accountability,Predictive decision support,3,Decisions logged but tracking inconsistent,1,Medium,Implement decision tracking system
People,Leadership,PEOP-LD-01,Is there executive sponsorship?,4%,No sponsor,Nominal sponsor,Active sponsor,Champion sponsor,Transformational leader,4,COO actively sponsors,0,Low,Maintain sponsorship
People,Leadership,PEOP-LD-02,Do leaders model IBP behaviors?,3%,No modeling,Occasional modeling,Regular modeling,Consistent modeling,Cultural embedding,3,Most leaders model behaviors,1,Medium,Leadership development program
People,Roles,PEOP-RL-01,Are IBP roles clearly defined?,3%,No role definition,Basic roles,Clear roles documented,RACI with accountability,Optimized role design,4,RACI in place and followed,0,Low,Maintain role clarity
People,Roles,PEOP-RL-02,Is there a dedicated IBP process owner?,3%,No process owner,Part-time owner,Dedicated owner,Empowered owner,Strategic leader,4,Dedicated IBP Leader in place,0,Low,Maintain structure
People,Skills,PEOP-SK-01,Do participants have required skills?,4%,Major skill gaps,Some skills,Adequate skills,Strong skills,Expert capabilities,3,Most skills in place; analytics gap,1,High,Analytics training program
People,Skills,PEOP-SK-02,Is there an IBP training program?,3%,No training,Ad-hoc training,Structured program,Comprehensive with certification,Learning organization,3,Training program exists,1,Medium,Add certification pathway
People,Culture,PEOP-CU-01,Is there cross-functional collaboration?,4%,Siloed functions,Limited collaboration,Growing collaboration,Strong collaboration,Seamless integration,3,Collaboration improving,1,Medium,Continue collaboration initiatives
People,Culture,PEOP-CU-02,Is there a data-driven decision culture?,3%,Gut feel dominant,Some data use,Growing data use,Data-driven culture,Analytics excellence,3,Data use increasing,1,High,Reinforce with analytics tools
Technology,Systems,TECH-SY-01,Is there an integrated planning platform?,4%,Spreadsheets only,Basic planning tool,Integrated platform,Advanced platform,Best-in-class platform,3,SAP IBP implemented,1,High,Optimize platform usage
Technology,Systems,TECH-SY-02,Is scenario planning supported by technology?,3%,No scenario capability,Basic scenarios,Multiple scenarios,Rapid scenario modeling,Real-time scenarios,2,Limited scenario capability,2,High,Implement scenario tools
Technology,Data,TECH-DA-01,Is there a single source of truth?,4%,Multiple conflicting sources,Partial single source,Single source established,Governed single source,Real-time single source,3,Master data in place; quality gaps,1,Medium,Data governance program
Technology,Data,TECH-DA-02,Is data quality managed?,3%,No data management,Reactive fixes,Quality monitoring,Proactive management,Predictive quality,3,Quality monitored,1,Medium,Enhance data governance
Technology,Analytics,TECH-AN-01,Are analytics capabilities adequate?,4%,No analytics,Basic reporting,Standard analytics,Advanced analytics,Predictive/prescriptive,2,Basic analytics only,2,High,Analytics capability investment
Technology,Integration,TECH-IN-01,Are systems integrated end-to-end?,3%,No integration,Point integrations,Functional integration,Enterprise integration,Ecosystem integration,3,ERP integration complete,1,Medium,Extend to external systems
Performance,KPIs,PERF-KP-01,Are IBP KPIs defined and tracked?,4%,No KPIs,Basic KPIs,Comprehensive KPIs,Balanced scorecard,Leading indicators,4,Balanced scorecard in place,0,Low,Add leading indicators
Performance,KPIs,PERF-KP-02,Is forecast accuracy measured appropriately?,3%,No measurement,Basic accuracy,Multi-level accuracy,Accuracy with bias and value-add,Predictive accuracy,4,Accuracy bias and value-add tracked,0,Low,Maintain measurement
Performance,Tracking,PERF-TR-01,Are performance reviews conducted?,3%,No reviews,Occasional reviews,Monthly reviews,Integrated reviews,Continuous monitoring,4,Monthly and quarterly reviews,0,Low,Maintain review cadence
Performance,Benchmark,PERF-BM-01,Is performance benchmarked externally?,3%,No benchmarking,Occasional comparison,Regular benchmarking,Industry leadership target,Best practice contributor,3,Annual benchmarking,1,Medium,Increase benchmark frequency
Performance,Impact,PERF-IM-01,Are IBP benefits measured?,3%,No benefit measurement,Anecdotal benefits,Periodic measurement,Comprehensive tracking,Predictive value,3,Some benefits tracked,1,Medium,Implement benefit tracking
Performance,Improvement,PERF-CI-01,Is continuous improvement practiced?,3%,No improvement focus,Reactive improvements,Regular improvement,Structured CI program,Innovation culture,3,Improvement mindset exists,1,Medium,Formalize CI program
