IBP Monthly Calendar Template,,,,,,,
,,,,,,,
Instructions: This template defines the standard IBP monthly cycle. Customize dates based on your organization's calendar.,,,,,,,
,,,,,,,
WEEK 1: DATA PREPARATION & PRODUCT REVIEW,,,,,,,
Day,Activity,Owner,Deliverable,Attendees,Duration,Status,Notes
Monday,Prior month close - finalize shipment data,Finance/IT,Closed month data,N/A,N/A,,
Monday,Generate statistical baseline forecast,Demand Planning,Statistical forecast,N/A,N/A,,
Tuesday,Cleanse and validate forecast data,Demand Planning,Clean baseline,N/A,N/A,,
Tuesday,Prepare product review materials,Product Management,Product review pack,N/A,N/A,,
Wednesday,Product portfolio analysis,Product Management,Portfolio metrics,N/A,N/A,,
Wednesday,NPI status update compilation,R&D/Product,NPI tracker update,N/A,N/A,,
Thursday,PRODUCT REVIEW MEETING,Product Management,Portfolio decisions,Product/Marketing/R&D/Supply/Finance,90 min,,
Friday,Distribute product review outputs,IBP Coordinator,Meeting minutes,All stakeholders,N/A,,
Friday,Update demand plan with product changes,Demand Planning,Updated baseline,N/A,N/A,,
,,,,,,,
WEEK 2: DEMAND REVIEW,,,,,,,
Day,Activity,Owner,Deliverable,Attendees,Duration,Status,Notes
Monday,Sales forecast input deadline,Sales Leadership,Sales overlay,N/A,N/A,,
Monday,Customer collaboration forecast input,Key Account Managers,Customer forecasts,N/A,N/A,,
Tuesday,Marketing forecast input deadline,Marketing,Marketing overlay,N/A,N/A,,
Tuesday,Compile demand assumptions,Demand Planning,Assumptions log,N/A,N/A,,
Wednesday,Pre-demand review alignment,Demand Planning,Draft consensus demand,Sales/Marketing/Demand Planning,60 min,,
Wednesday,Prepare demand review materials,Demand Planning,Demand review pack,N/A,N/A,,
Thursday,DEMAND REVIEW MEETING,Sales/Commercial VP,Consensus demand plan,Sales/Marketing/Finance/Supply/Demand Planning,90 min,,
Friday,Publish consensus demand plan,Demand Planning,Approved demand plan,All stakeholders,N/A,,
Friday,Initiate supply response analysis,Supply Planning,Supply analysis kickoff,N/A,N/A,,
,,,,,,,
WEEK 3: SUPPLY REVIEW,,,,,,,
Day,Activity,Owner,Deliverable,Attendees,Duration,Status,Notes
Monday,Complete rough-cut capacity analysis,Supply Planning,Capacity assessment,N/A,N/A,,
Monday,Inventory projection analysis,Supply Planning,Inventory projections,N/A,N/A,,
Tuesday,Supplier capacity confirmation,Procurement,Supplier capacity status,N/A,N/A,,
Tuesday,Identify constraints and gaps,Supply Planning,Constraints log,N/A,N/A,,
Wednesday,Develop supply scenarios,Supply Planning,Scenario options,N/A,N/A,,
Wednesday,Pre-supply review alignment,Supply Planning,Draft supply response,Supply Planning/Operations/Procurement,60 min,,
Thursday,SUPPLY REVIEW MEETING,Supply Chain VP,Constrained supply plan,Supply/Operations/Procurement/Demand/Finance,90 min,,
Friday,Publish supply response,Supply Planning,Approved supply plan,All stakeholders,N/A,,
Friday,Initiate financial integration,Finance/FP&A,Financial analysis kickoff,N/A,N/A,,
,,,,,,,
WEEK 4: FINANCIAL INTEGRATION & EXECUTIVE IBP,,,,,,,
Day,Activity,Owner,Deliverable,Attendees,Duration,Status,Notes
Monday,Complete P&L projection,Finance/FP&A,Financial projection,N/A,N/A,,
Monday,Gap analysis vs budget/target,Finance/FP&A,Gap analysis,N/A,N/A,,
Tuesday,FINANCIAL REVIEW MEETING,Finance VP,Integrated financial plan,Finance/Sales/Supply/IBP Leader,60 min,,
Tuesday,Prepare executive IBP pack,IBP Process Owner,Executive pack,N/A,N/A,,
Wednesday,Executive pack review and refinement,IBP Process Owner,Final executive pack,IBP Leader/Review Owners,60 min,,
Wednesday,Pre-read distribution to executives,IBP Coordinator,Pre-read materials,Executive team,N/A,,
Thursday,EXECUTIVE IBP MEETING,CEO/COO,Approved integrated plan,C-Suite/VPs,120 min,,
Friday,Publish approved plan,IBP Process Owner,Final IBP outputs,All stakeholders,N/A,,
Friday,Update action item tracker,IBP Coordinator,Action tracker,N/A,N/A,,
Friday,Communicate key decisions,IBP Process Owner,Communication cascade,Organization,N/A,,
,,,,,,,
ONGOING ACTIVITIES,,,,,,,
Frequency,Activity,Owner,Deliverable,Notes,,,
Daily,Monitor execution vs plan,Operations,Daily performance,,,
Weekly,Operations review,Operations,Weekly status,,,
Weekly,Update action items,All owners,Progress update,,,
Monthly,Process feedback collection,IBP Process Owner,Feedback summary,,,
Quarterly,IBP process health review,IBP Process Owner,Health assessment,,,
Annually,Full maturity assessment,IBP Process Owner,Maturity score,,,
,,,,,,,
KEY DEADLINES SUMMARY,,,,,,,
Input,Due Date,Time,Owner,,,
Statistical forecast,Week 1 Monday,EOD,Demand Planning,,,
Product review materials,Week 1 Wednesday,EOD,Product Management,,,
Sales overlay,Week 2 Monday,EOD,Sales Leadership,,,
Marketing overlay,Week 2 Tuesday,EOD,Marketing,,,
Demand review materials,Week 2 Wednesday,EOD,Demand Planning,,,
Supply response,Week 3 Wednesday,EOD,Supply Planning,,,
Financial projection,Week 4 Monday,EOD,Finance/FP&A,,,
Executive pack,Week 4 Wednesday,12:00 PM,IBP Process Owner,,,
