Perspective,KPI_ID,KPI_Name,Definition,Calculation_Method,Unit,Frequency,Data_Source,Owner,Target,Threshold_Green,Threshold_Yellow,Threshold_Red,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD_Avg,Trend
Customer,CUST-01,On-Time In-Full (OTIF),Percentage of orders delivered on-time and in-full,Orders OTIF / Total Orders * 100,%,Weekly,WMS/TMS,Supply Chain VP,95,>=95,90-94.9,<90,92.5,93.1,93.8,94.2,94.5,94.8,95.1,94.9,95.2,95.0,94.8,95.1,94.4,Improving
Customer,CUST-02,Perfect Order Rate,Percentage of orders with no errors,Perfect Orders / Total Orders * 100,%,Monthly,OMS,Supply Chain VP,92,>=92,88-91.9,<88,89.5,90.2,90.8,91.1,91.5,91.8,92.0,91.8,92.1,91.9,92.0,92.2,91.4,Improving
Customer,CUST-03,Order Lead Time,Average days from order to delivery,Sum of Lead Times / Order Count,Days,Monthly,OMS,Customer Service,8,<=8,8.1-10,>10,9.5,9.2,9.0,8.8,8.6,8.5,8.4,8.5,8.3,8.2,8.1,8.0,8.5,Improving
Customer,CUST-04,Customer Satisfaction Score,Average satisfaction rating from surveys,Sum of Ratings / Response Count,Score 1-5,Quarterly,Survey,Sales VP,4.3,>=4.3,4.0-4.29,<4.0,,,4.1,,,4.2,,,4.3,,,4.4,4.3,Improving
Financial,FIN-01,Revenue vs Plan,Actual revenue compared to operating plan,Actual Revenue / Plan Revenue * 100,%,Monthly,ERP,CFO,±3%,97-103,94-96.9 or 103.1-106,<94 or >106,98,99,101,102,100,99,101,102,103,101,100,99,100.4,Stable
Financial,FIN-02,Gross Margin Percentage,Gross profit as percentage of revenue,(Revenue - COGS) / Revenue * 100,%,Monthly,ERP,CFO,43,>=43,41-42.9,<41,41.5,42.0,42.3,42.5,42.8,43.0,43.2,43.0,42.8,42.5,42.8,43.0,42.6,Improving
Financial,FIN-03,Inventory Turns,Annual COGS divided by average inventory,COGS / Average Inventory,Turns,Monthly,ERP,Supply Chain VP,6.0,>=6.0,5.5-5.9,<5.5,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.8,5.9,5.9,6.0,6.0,5.7,Improving
Financial,FIN-04,Working Capital % Revenue,Net working capital as percentage of revenue,NWC / Revenue * 100,%,Monthly,ERP,CFO,17,<=17,17.1-19,>19,19.5,19.2,18.8,18.5,18.2,18.0,17.8,17.6,17.5,17.3,17.2,17.0,18.0,Improving
Process,PROC-01,Forecast Accuracy (WMAPE),Weighted mean absolute percentage error,1 - (Sum |Actual - Forecast| / Sum Actual) * 100,%,Monthly,Planning,Demand Planning,70,>=70,65-69.9,<65,65,66,67,68,69,70,71,70,72,71,72,73,69.5,Improving
Process,PROC-02,Forecast Bias,Systematic over or under forecasting,(Sum (Actual - Forecast) / Sum Actual) * 100,%,Monthly,Planning,Demand Planning,±3%,-3 to +3,-5 to -3.1 or 3.1 to 5,<-5 or >5,4.5,3.8,3.2,2.8,2.5,2.2,2.0,2.1,1.8,1.5,1.8,2.0,2.5,Improving
Process,PROC-03,Demand Plan Adherence,Actual shipments vs consensus demand plan,Actual / Consensus Plan * 100,%,Monthly,Planning,Demand Planning,90,>=90,85-89.9,<85,86,87,88,89,89,90,91,90,91,90,91,92,89.5,Improving
Process,PROC-04,Supply Plan Adherence,Actual production vs supply plan,Actual Production / Supply Plan * 100,%,Weekly,MES,Operations VP,95,>=95,92-94.9,<92,93,94,94,95,95,96,96,95,96,96,96,97,95.3,Improving
Process,PROC-05,Plan Stability,Month-over-month forecast change,|Current Forecast - Prior Forecast| / Prior Forecast * 100,%,Monthly,Planning,IBP Leader,<10%,<10,10-15,>15,15,14,13,12,11,10,9,10,9,8,9,8,10.7,Improving
Enabler,ENAB-01,Meeting Effectiveness,Survey score of IBP meeting quality,Average of participant ratings,Score 1-5,Monthly,Survey,IBP Leader,4.0,>=4.0,3.5-3.9,<3.5,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.0,4.1,4.2,4.1,4.2,3.9,Improving
Enabler,ENAB-02,Decision Cycle Time,Hours from escalation to decision,Sum of Cycle Times / Decision Count,Hours,Per Issue,Process Log,IBP Leader,48,<=48,49-72,>72,60,55,52,50,48,46,45,46,44,42,44,42,47.8,Improving
Enabler,ENAB-03,Action Completion Rate,IBP actions completed on time,Completed On-Time / Total Due * 100,%,Monthly,Tracker,IBP Leader,90,>=90,85-89.9,<85,82,84,85,86,87,88,89,88,90,91,90,92,87.7,Improving
Enabler,ENAB-04,Data Quality Score,Composite index of data quality,Weighted average of accuracy/completeness/timeliness,%,Monthly,MDM,IT,95,>=95,92-94.9,<92,91,92,92,93,93,94,94,94,95,95,95,96,93.7,Improving
Enabler,ENAB-05,Process Compliance,Adherence to IBP calendar and procedures,Compliant Activities / Total Activities * 100,%,Monthly,Audit,IBP Leader,100,100,95-99.9,<95,95,96,97,98,99,100,100,100,100,100,100,100,98.8,Improving
